,Region,Group,CW,valor
0,ASIA,Gate Review,CW41,0.0001
1,EMEA,Gate Review,CW41,0.0001
2,NAO,Gate Review,CW41,0.045454545454545456
3,SAO,Gate Review,CW41,0.0
4,WW,Gate Review,CW41,0.35714285714285715
5,ASIA,WAR,CW41,0.0
6,EMEA,WAR,CW41,0.06097560975609756
7,NAO,WAR,CW41,0.0
8,SAO,WAR,CW41,0.0
9,WW,WAR,CW41,0.3
10,ASIA,GoLive,CW41,0.07142857142857142
11,EMEA,GoLive,CW41,0.012195121951219513
12,NAO,GoLive,CW41,0.046511627906976744
13,SAO,GoLive,CW41,0.0
14,WW,GoLive,CW41,0.3
15,ASIA,Gate Review,CW45,0.0625
16,EMEA,Gate Review,CW45,0.03125
17,NAO,Gate Review,CW45,0.0
18,SAO,Gate Review,CW45,0.0
19,WW,Gate Review,CW45,0.21428571428571427
20,ASIA,WAR,CW45,0.0
21,EMEA,WAR,CW45,0.10714285714285714
22,NAO,WAR,CW45,0.0
23,SAO,WAR,CW45,0.0
24,WW,WAR,CW45,0.25
25,ASIA,GoLive,CW45,0.0625
26,EMEA,GoLive,CW45,0.05952380952380952
27,NAO,GoLive,CW45,0.0
28,SAO,GoLive,CW45,0.0
29,WW,GoLive,CW45,0.25
30,ASIA,Gate Review,CW49,0.07142857142857142
31,EMEA,Gate Review,CW49,0.0
32,NAO,Gate Review,CW49,0.0
33,SAO,Gate Review,CW49,0.0
34,WW,Gate Review,CW49,0.3125
35,ASIA,WAR,CW49,0.0
36,EMEA,WAR,CW49,0.16049382716049382
37,NAO,WAR,CW49,0.0
38,SAO,WAR,CW49,0.0
39,WW,WAR,CW49,0.27586206896551724
40,ASIA,GoLive,CW49,0.07142857142857142
41,EMEA,GoLive,CW49,0.06172839506172839
42,NAO,GoLive,CW49,0.021739130434782608
43,SAO,GoLive,CW49,0.0
44,WW,GoLive,CW49,0.1724137931034483
45,ASIA,Gate Review,CW03,0.08333333333333333
46,EMEA,Gate Review,CW03,0.0
47,NAO,Gate Review,CW03,0.0
48,SAO,Gate Review,CW03,0.0
49,WW,Gate Review,CW03,0.18181818181818182
50,ASIA,WAR,CW03,0.0
51,EMEA,WAR,CW03,0.13636363636363635
52,NAO,WAR,CW03,0.10869565217391304
53,SAO,WAR,CW03,0.0
54,WW,WAR,CW03,0.38095238095238093
55,ASIA,GoLive,CW03,0.05
56,EMEA,GoLive,CW03,0.06818181818181818
57,NAO,GoLive,CW03,0.021739130434782608
58,SAO,GoLive,CW03,0.0
59,WW,GoLive,CW03,0.19047619047619047
60,ASIA,Gate Review,CW06,0.0
61,EMEA,Gate Review,CW06,0.0
62,NAO,Gate Review,CW06,0.0
63,SAO,Gate Review,CW06,0.0
64,WW,Gate Review,CW06,0.2
65,ASIA,WAR,CW06,0.0
66,EMEA,WAR,CW06,0.042105263157894736
67,NAO,WAR,CW06,0.0
68,SAO,WAR,CW06,0.0
69,WW,WAR,CW06,0.19047619047619047
70,ASIA,GoLive,CW06,0.047619047619047616
71,EMEA,GoLive,CW06,0.06315789473684211
72,NAO,GoLive,CW06,0.022727272727272728
73,SAO,GoLive,CW06,0.3333333333333333
74,WW,GoLive,CW06,0.09523809523809523
75,ASIA,Gate Review,CW10,0.0
76,EMEA,Gate Review,CW10,1e-05
77,NAO,Gate Review,CW10,0.0
78,SAO,Gate Review,CW10,0.0
79,WW,Gate Review,CW10,0.2727272727272727
80,ASIA,WAR,CW10,0.0
81,EMEA,WAR,CW10,0.044444444444444446
82,NAO,WAR,CW10,0.0
83,SAO,WAR,CW10,0.0
84,WW,WAR,CW10,0.20833333333333334
85,ASIA,GoLive,CW10,0.04
86,EMEA,GoLive,CW10,0.03333333333333333
87,NAO,GoLive,CW10,0.029411764705882353
88,SAO,GoLive,CW10,0.125
89,WW,GoLive,CW10,0.125
90,ASIA,Gate Review,CW15,0.0
91,EMEA,Gate Review,CW15,0.029411764705882353
92,NAO,Gate Review,CW15,0.0
93,SAO,Gate Review,CW15,0.0
94,WW,Gate Review,CW15,0.2727272727272727
95,ASIA,WAR,CW15,0.0
96,EMEA,WAR,CW15,0.05102040816326531
97,NAO,WAR,CW15,0.0
98,SAO,WAR,CW15,0.0
99,WW,WAR,CW15,0.23809523809523808
100,ASIA,GoLive,CW15,0.034482758620689655
101,EMEA,GoLive,CW15,0.030612244897959183
102,NAO,GoLive,CW15,0.07692307692307693
103,SAO,GoLive,CW15,0.0
104,WW,GoLive,CW15,0.14285714285714285
105,ASIA,Gate Review,CW19,0.0
106,EMEA,Gate Review,CW19,0.05714285714285714
107,NAO,Gate Review,CW19,0.05555555555555555
108,SAO,Gate Review,CW19,0.0
109,WW,Gate Review,CW19,0.375
110,ASIA,WAR,CW19,0.0
111,EMEA,WAR,CW19,0.05747126436781609
112,NAO,WAR,CW19,0.0
113,SAO,WAR,CW19,0.0
114,WW,WAR,CW19,0.3
115,ASIA,GoLive,CW19,0.16666666666666666
116,EMEA,GoLive,CW19,0.022988505747126436
117,NAO,GoLive,CW19,0.07317073170731707
118,SAO,GoLive,CW19,0.0
119,WW,GoLive,CW19,0.15
120,ASIA,Gate Review,CW23,0.0
121,EMEA,Gate Review,CW23,0.0
122,NAO,Gate Review,CW23,0.07692307692307693
123,SAO,Gate Review,CW23,0.4
124,WW,Gate Review,CW23,0.375
125,ASIA,WAR,CW23,0.0
126,EMEA,WAR,CW23,0.08421052631578947
127,NAO,WAR,CW23,0.027777777777777776
128,SAO,WAR,CW23,0.0
129,WW,WAR,CW23,0.263157894736842
130,ASIA,GoLive,CW23,0.13
131,EMEA,GoLive,CW23,0.02
132,NAO,GoLive,CW23,0.19
133,SAO,GoLive,CW23,0.0
134,WW,GoLive,CW23,0.16
